,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
582,1900,247870,Redshirt,1.0,Positech,windows,Indie;RPG;Simulation;Strategy,281.0,281.0,0.02,6.99,0.4075067024128686,11.0,2013.0,0.24465,2013,11,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
583,1901,247950,Sacred 3,1.0,Deep Silver,windows,Action;RPG,182.0,306.0,0.2,10.99,0.2500655307994757,7.0,2014.0,3.8465,2014,7,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
584,1908,248370,Bridge It +,1.0,Libredia Entertainment,windows,Simulation,0.0,0.0,0.02,4.99,0.680327868852459,11.0,2013.0,0.17465,2013,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
585,1909,248390,Craft The World,1.0,Black Maple Games,windows,Indie;RPG;Simulation;Strategy,1891.0,3010.0,0.2,13.99,0.8759142496847415,11.0,2014.0,4.8965,2014,11,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
586,1912,248530,Depth Hunter 2: Deep Dive,1.0,Biart Company LLC,windows,Action;Adventure;Casual;Indie;Simulation;Sports,288.0,371.0,0.2,10.99,0.7437923250564334,8.0,2014.0,3.8465,2014,8,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0
587,1915,248610,Door Kickers,1.0,KillHouse Games,windows,Action;Indie;Simulation;Strategy,366.0,483.0,0.5,14.99,0.9435549086204108,10.0,2014.0,11.2425,2014,10,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
588,1916,248630,Kingdoms Rise,1.0,Flyleap Studios Pty. Ltd.,windows,Action;Indie;RPG;Early Access,22.0,22.0,0.05,11.99,0.4568245125348189,11.0,2013.0,0.89925,2013,11,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
589,1918,248800,Dysfunctional Systems: Learning to Manage Chaos,1.0,Dischan Media,windows,Adventure;Casual;Indie;RPG,0.0,0.0,0.05,3.99,0.7723270440251573,9.0,2013.0,0.29925,2013,9,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
590,1921,249050,Dungeon of the Endless™,1.0,SEGA,windows,Adventure;Indie;RPG;Strategy,648.0,295.0,0.5,8.99,0.8764907309009328,10.0,2014.0,6.7425,2014,10,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0
591,1922,249130,LEGO® Marvel™ Super Heroes,1.0,Warner Bros. Interactive Entertainment;Feral Interactive (Mac),windows,Action;Adventure,4034.0,3514.0,0.5,14.99,0.927171163575042,11.0,2013.0,11.2425,2013,11,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
593,1924,249230,Risen 3 - Titan Lords,1.0,Deep Silver,windows,RPG,412.0,589.0,0.5,10.99,0.7066666666666667,8.0,2014.0,8.2425,2014,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
594,1927,249550,NEStalgia,1.0,Silk Games,windows,Indie;Massively Multiplayer;RPG,0.0,0.0,0.02,6.99,0.6975308641975309,4.0,2014.0,0.24465,2014,4,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0
595,1929,249590,Teslagrad,1.0,Rain Games,windows,Indie,449.0,665.0,0.2,6.99,0.8597063621533442,12.0,2013.0,2.4465,2013,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
596,1931,249650,Blackguards,1.0,Daedalic Entertainment,windows,Indie;RPG;Strategy,174.0,232.0,0.5,26.99,0.6138286134608312,1.0,2014.0,20.2425,2014,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
597,1932,249680,Marlow Briggs and the Mask of Death,1.0,505 Games,windows,Action;Adventure,57.0,98.0,0.1,3.99,0.9243006034009874,9.0,2013.0,0.5985,2013,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
598,1933,249870,Scribblenauts Unmasked: A DC Comics Adventure,1.0,Warner Bros. Interactive Entertainment,windows,Action;Adventure;Casual;Strategy,124.0,124.0,0.2,14.99,0.8173138128580522,9.0,2013.0,5.2465,2013,9,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
599,1935,249990,FORCED: Slightly Better Edition,1.0,BetaDwarf,windows,Action;Adventure;Indie;RPG,241.0,407.0,0.5,10.99,0.7439175257731959,10.0,2013.0,8.2425,2013,10,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
600,1938,250110,Assault Android Cactus,1.0,Witch Beam,windows,Action;Indie,379.0,379.0,0.1,10.99,0.9475240206947524,9.0,2015.0,1.6485,2015,9,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
601,1939,250180,METAL SLUG 3,1.0,SNK CORPORATION,windows,Action,212.0,242.0,0.5,5.99,0.904358353510896,2.0,2014.0,4.4925,2014,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
602,1941,250320,The Wolf Among Us,1.0,Telltale Games,windows,Adventure,675.0,616.0,1.0,11.99,0.9761134725559046,10.0,2013.0,17.985,2013,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
603,1945,250420,8BitMMO,1.0,Archive Entertainment,windows,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,31.0,31.0,0.5,0.0,0.5886524822695035,1.0,2015.0,0.0,2015,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
604,1950,250560,Fight The Dragon,1.0,3 Sprockets,windows,Indie;RPG,283.0,300.0,0.1,6.99,0.7968253968253968,12.0,2014.0,1.0485,2014,12,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
605,1952,250600,The Plan,1.0,Krillbite Studio,windows,Casual;Free to Play;Indie,8.0,11.0,0.5,0.0,0.9221590909090908,2.0,2014.0,0.0,2014,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
606,1953,250620,Among the Sleep - Enhanced Edition,1.0,Krillbite Studio,windows,Action;Adventure;Indie,83.0,83.0,0.2,13.49,0.86503884572697,5.0,2014.0,4.7215,2014,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
607,1955,250660,Bunny Must Die! Chelsea and the 7 Devils,1.0,Rockin' Android;Rockin Android,windows,Action;Adventure;Indie,425.0,425.0,0.02,6.99,0.6884735202492211,9.0,2013.0,0.24465,2013,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
609,1957,250700,Super Time Force Ultra,1.0,Capybara Games,windows,Action;Indie,133.0,184.0,0.1,10.99,0.9036144578313252,8.0,2014.0,1.6485,2014,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
611,1960,250900,The Binding of Isaac: Rebirth,1.0,"Nicalis, Inc.",windows,Action,4583.0,3236.0,2.0,10.99,0.9753582429355832,11.0,2014.0,38.465,2014,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
613,1963,251110,INFRA,1.0,Loiste Interactive,windows,Adventure;Indie,0.0,0.0,0.02,23.79,0.8853801169590644,1.0,2016.0,0.83265,2016,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
