,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
16712,739960,Kokoda VR,Australian Broadcasting Corporation,Free to Play;Simulation,9.903487552536127,0.0,0.0,29,0.8620689655172413,70.72392876529419,2017,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Free
16723,740200,The Mercury Man,Mehsoft,Action;Adventure;Casual;Indie,10.819778284410283,4.0,12.611541086966115,531,0.8549905838041432,79.03730811609289,2018,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Premium
16727,740250,Neos VR,Solirax,Free to Play;Indie;Massively Multiplayer;Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Early Access,9.903487552536127,0.0,0.0,156,0.8782051282051282,78.23678855039606,2018,5,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,Free
16739,740470,Echoed World,Team DOTS,Action;Adventure;Free to Play;Indie,10.819778284410283,0.0,0.0,557,0.7468581687612208,69.12179461630615,2017,12,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Free
16743,740570,illie,NedoStudio,Casual;Indie,9.903487552536127,2.0,11.156264806643742,77,0.8441558441558441,73.04414594569278,2017,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Premium
16753,741120,Solar System,RewindApp,Casual;Indie,9.903487552536127,1.0,10.463131911491967,40,0.425,35.55195508899943,2017,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Premium
16756,741260,Mobile Empire,X.D. Network Inc.,Casual;Indie;Simulation;Strategy,9.903487552536127,10.5,12.814481318719762,912,0.680921052631579,63.718130621547495,2018,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,Premium
16762,741450,Immortal Heroes,azimut team,Nudity;Adventure;Casual;Indie,9.903487552536127,1.0,10.463131911491967,87,0.26436781609195403,23.002538959749856,2017,11,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Premium
16767,741590,Hex Commander: Fantasy Heroes,Home Net Games,Free to Play;Indie;Strategy,10.819778284410283,0.0,0.0,181,0.7348066298342542,65.81069077516867,2017,12,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Free
16769,741670,Easy Red,Corvostudio di Amadei Marco,Action;Indie;Simulation;Strategy,10.819778284410283,3.99,12.609037965102189,770,0.7974025974025974,74.35064548046965,2017,12,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,Premium
16772,741930,Hydroactive,New Reality Games,Indie;RPG,9.903487552536127,2.99,11.55838628349022,6,0.3333333333333333,24.055450358812486,2017,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Premium
16775,742120,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,Square Enix,RPG,12.206072645530174,69.9,17.01275412358008,5471,0.9316395540120636,89.67316460473941,2018,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Premium
16777,742170,Dr. Frank's Build a Boyfriend,Visual Wordplay,Nudity;Free to Play;Indie;Simulation,9.903487552536127,0.0,0.0,158,0.8481012658227848,75.59012174391536,2018,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Free
16788,742500,Nonogram - Master's Legacy,Konstructors Entertainment,Casual;Free to Play;Indie;Strategy,9.903487552536127,0.0,0.0,99,0.7575757575757576,66.28787878787878,2018,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Free
16799,743090,Defiance 2050,Trion Worlds,Adventure;Free to Play;Massively Multiplayer,12.206072645530174,0.0,0.0,1835,0.4114441416893733,39.002720713280745,2018,7,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,Free
16802,743130,MewnBase,Cairn4,Casual;Indie;Simulation;Early Access,9.903487552536127,6.0,12.25486757159303,474,0.9451476793248945,87.12374395892162,2018,12,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,Premium
